code;parent;fr;nl;de;alt_fr;alt_nl;alt_de;start;end;exactmatch1
001;;Société coopérative européenne;Europese Coöperatieve Vennootschap;Europäische Genossenschaft;SCE;SCE;SCE;30/11/2006;31/12/9999;http://vocab.belgif.be/auth/orgtype/cbe1800/001#id
002;;Organisme de financement de pensions;Organisme voor de Financiering van Pensioenen;Organismus für die Finanzierung von Pensionen;OFP;OFP;OFP;01/01/2007;31/12/9999;http://vocab.belgif.be/auth/orgtype/cbe1800/002#id
003;;Unité TVA;BTW-eenheid;Mehrwertsteuereinheit;UTVA;BTWE;MWSE;01/04/2007;31/12/9999;http://vocab.belgif.be/auth/orgtype/cbe1800/003#id
006;;Société coopérative à responsabilité illimitée;Coöperatieve vennootschap met onbeperkte aansprakelijkheid;Genossenschaft mit unbeschränkter Haftung;SCRI;CVOA;Gen.mubH;01/01/1800;31/12/9999;http://vocab.belgif.be/auth/orgtype/cbe1800/006#id
008;;Société coopérative à responsabilité limitée;Coöperatieve vennootschap met beperkte aansprakelijkheid;Genossenschaft mit beschränkter Haftung;SCRL;CVBA;Gen.mbH;01/01/1800;31/12/9999;http://vocab.belgif.be/auth/orgtype/cbe1800/008#id
011;;Société en nom collectif;Vennootschap onder firma;Offene Handelsgesellschaft;SNC;V.O.F.;OHG;01/01/1800;31/12/9999;http://vocab.belgif.be/auth/orgtype/cbe1800/011#id
012;;Société en commandite simple;Gewone commanditaire vennootschap;Einfache Kommanditgesellschaft;SCS;Comm.V;EKG;01/01/1800;31/12/9999;http://vocab.belgif.be/auth/orgtype/cbe1800/012#id
013;;Société en commandite par actions;Commanditaire vennootschap op aandelen;Kommanditgesellschaft auf Aktien;SCA;Comm.VA;KGaA;01/01/1800;31/12/9999;http://vocab.belgif.be/auth/orgtype/cbe1800/013#id
014;;Société anonyme;Naamloze vennootschap;Aktiengesellschaft;SA;NV;AG;01/01/1800;31/12/9999;http://vocab.belgif.be/auth/orgtype/cbe1800/014#id
015;;Société privée à responsabilité limitée;Besloten vennootschap met beperkte aansprakelijkheid;Privatgesellschaft mit beschränkter Haftung;SPRL;BVBA;PGmbH;01/01/1800;31/12/9999;http://vocab.belgif.be/auth/orgtype/cbe1800/015#id
017;;Association sans but lucratif;Vereniging zonder winstoogmerk;Vereinigung ohne Gewinnerzielungsabsicht;ASBL;VZW;VoG;01/01/1800;31/12/9999;http://vocab.belgif.be/auth/orgtype/cbe1800/017#id
019;;Mutualité / Société Mutualiste / Union nationale de mutualités;Ziekenfonds / Maatschappij van onderlinge bijstand / Landsbond van ziekenfondsen;Krankenkasse / Gesellschaft auf Gegenseitigkeit / Krankenkassenlandesverband;MUTU;ZIEK F;Kankenka;01/01/1800;31/12/9999;http://vocab.belgif.be/auth/orgtype/cbe1800/019#id
020;;Union professionnelle;Beroepsvereniging;Berufsvereinigung;UP;BV;BV;01/01/1800;31/12/9999;http://vocab.belgif.be/auth/orgtype/cbe1800/020#id
021;;Association d'assurances mutuelles / Caisse commune d'assurances de droit privé;Onderlinge verzekeringsvereniging / Gemeenschappelijke verzekeringskas van privaat recht;Versicherungsvereinigung auf Gegenseitigkeit / Privatrechtliche Versicherungsgesellschaft;AAM;OVV;PRVGaG;01/01/1800;31/12/9999;http://vocab.belgif.be/auth/orgtype/cbe1800/021#id
022;;Organisation scientifique internationale de droit belge;Internationale wetenschappelijke organisatie van Belgisch recht;Internationale wissenschaftliche Organisation belgischen Rechts;OSI DB;IWO BR;IWObR;01/01/1800;23/04/2004;http://vocab.belgif.be/auth/orgtype/cbe1800/022#id
023;;Associations étrangères privées avec établissement, agence, bureau, succursale en Belgique;Buitenlandse privaatrechtelijke verenigingen met vestiging, agentschap, kantoor of bijhuis in België;Privatrechtliche ausländische Vereinigungen mit Niederlassung, Geschäftsstelle, Büro oder Zweigstelle in Belgien;AEP;BPR;PRaV;01/01/1800;31/12/9999;http://vocab.belgif.be/auth/orgtype/cbe1800/023#id
025;;Société agricole;Landbouwvennootschap;Landwirtschaftliche Gesellschaft;S. Agr.;LV;LG;01/01/1800;31/12/9999;http://vocab.belgif.be/auth/orgtype/cbe1800/025#id
026;;Fondation privée;Private stichting;Privatstiftung;FONDPRIV;PRIV ST.;PrSt;02/05/2002;31/12/9999;http://vocab.belgif.be/auth/orgtype/cbe1800/026#id
027;;Société européenne (Societas Europaea);Europese vennootschap (Societas Europaea);Europäische Gesellschaft (Societas Europaea);SE;SE;SE;08/10/2004;31/12/9999;http://vocab.belgif.be/auth/orgtype/cbe1800/027#id
028;;Institution sans but lucratif;Instelling zonder winstoogmerk;Einrichtung ohne Gewinnerzielungsabsicht;ISBL;IZW;EoG;04/04/2003;31/12/9999;http://vocab.belgif.be/auth/orgtype/cbe1800/028#id
029;;Fondation d'utilité publique;Stichting van openbaar nut;Gemeinnützige Stiftung;FUP;SON;gnS;01/07/2003;31/12/9999;http://vocab.belgif.be/auth/orgtype/cbe1800/029#id
030;;Entreprise étrangère;Buitenlandse onderneming;Ausländische Gesellschaft;ENT E;BO;AGes.;01/01/1800;31/12/9999;http://vocab.belgif.be/auth/orgtype/cbe1800/030#id
051;;Autre forme de droit privé avec personnalité juridique;Andere privaatrechtelijke vorm met rechtspersoonlijkheid;Andere privatrechtliche Rechtsform mit Rechtspersönlichkeit;FDP PJ;PRV;PRRFmRP;01/01/1800;31/12/9999;http://vocab.belgif.be/auth/orgtype/cbe1800/051#id
060;;Groupement d'intérêt économique;Economisch samenwerkingsverband ;Wirtschaftliche Interessenvereinigung;GIE;ESV;WIV;01/01/1800;31/12/9999;http://vocab.belgif.be/auth/orgtype/cbe1800/060#id
065;;Groupement européen d'intérêt économique;Europees economisch samenwerkingsverband;Europäische wirtschaftliche Interessenvereinigung;GEIE;EESV;EWIV;01/01/1800;31/12/9999;http://vocab.belgif.be/auth/orgtype/cbe1800/065#id
070;;Association des copropriétaires;Vereniging van mede-eigenaars;Miteigentümervereinigung;ACP;VME;MEV;01/01/1800;31/12/9999;http://vocab.belgif.be/auth/orgtype/cbe1800/070#id
107;;Coopérative à responsabilité illimitée, coopérative de participation, de droit public;Coöperatieve vennootschap met onbeperkte aansprakelijkheid, bij wijze van deelneming van publiek recht;Öffentlich-rechtliche Genossenschaft mit unbeschränkter Haftung, Genossenschaft auf Beteiligung;SCRI CP;CVOA CD;GmuHGB;01/01/1800;31/12/9999;http://vocab.belgif.be/auth/orgtype/cbe1800/107#id
108;;Société coopérative à responsabilité limitée de droit public;Coöperatieve vennootschap met beperkte aansprakelijkheid van publiek recht;Öffentlich-rechtliche Genossenschaft mit beschränkter Haftung;SCRL DPU;CVBA PR;ÖfrGmbH;01/01/1800;31/12/9999;http://vocab.belgif.be/auth/orgtype/cbe1800/108#id
114;;Société anonyme de droit public;Naamloze vennootschap van publiek recht;Öffentlich-rechtliche Aktiengesellschaft;SA DPU;NV PR;Ö.-r.AG;01/01/1800;31/12/9999;http://vocab.belgif.be/auth/orgtype/cbe1800/114#id
117;;Association sans but lucratif de droit public;Vereniging zonder winstoogmerk van publiek recht;Öffentlich-rechtliche Vereinigung ohne Gewinnerzielungsabsicht;ASBL DPU;VZW PR;ÖrVohGza;01/01/1800;31/12/9999;http://vocab.belgif.be/auth/orgtype/cbe1800/117#id
121;;Association d'assurances mutuelles de droit public;Onderlinge verzekeringsvereniging van publiek recht;Öffentlich-rechtliche Versicherungsvereinigung auf Gegenseitigkeit;SAM DPU;OVV PR;ÖrVgGe;01/01/1800;31/12/9999;http://vocab.belgif.be/auth/orgtype/cbe1800/121#id
124;;Etablissement public;Openbare instelling;Öffentliche Einrichtung;ETSPUBLI;OI;ÖE;01/01/1800;31/12/9999;http://vocab.belgif.be/auth/orgtype/cbe1800/124#id
125;;Association internationale sans but lucratif;Internationale vereniging zonder winstoogmerk;Internationale Vereinigung ohne Gewinnerzielungsabsicht;AISBL;IVZW;IVoG;01/01/1800;31/12/9999;http://vocab.belgif.be/auth/orgtype/cbe1800/125#id
127;;Monts-de-Piété;Berg van Barmhartigheid;Pfandleihhaus;PIETE;BVB;LH;01/01/1800;31/12/9999;http://vocab.belgif.be/auth/orgtype/cbe1800/127#id
129;;Polder / wateringue;Polder / Watering;Entwässerungsgenossenschaft / Bewässerungsgenossenschaft;PW;PW;Ewg-Bwg;01/01/1800;31/12/9999;http://vocab.belgif.be/auth/orgtype/cbe1800/129#id
151;;Autre forme juridique;Andere rechtsvorm;Andere Rechtsform;AFJ;AV;ARF;01/01/1800;31/12/9999;http://vocab.belgif.be/auth/orgtype/cbe1800/151#id
160;;Organisme public étranger ou international;Buitenlandse of internationale publieke organisatie;Ausländische oder internationale öffentliche Einrichtungen;OPEI;BIPO;AIÖE;01/01/1800;31/12/9999;http://vocab.belgif.be/auth/orgtype/cbe1800/160#id
200;;Société en formation;Vennootschap in oprichting;In Gründung befindliche Gesellschaft;SF;VV;GbG;01/01/1800;31/12/9999;http://vocab.belgif.be/auth/orgtype/cbe1800/200#id
206;;Société civile sous forme de société coopérative à responsabilité illimitée;Burgerlijke vennootschap onder vorm van coöperatieve vennootschap met onbeperkte aansprakelijkheid;Zivilrechtliche Gesellschaft in der Rechtsform einer Genossenschaft mit unbeschränkter Haftung;SC SCRI;BV CVOA;ZvGGugcH;01/01/1800;31/12/9999;http://vocab.belgif.be/auth/orgtype/cbe1800/206#id
208;;Société civile sous forme de société coopérative à responsabilité limitée;Burgerlijke vennootschap onder vorm van coöperatieve vennootschap met beperkte aansprakelijkheid;Zivilrechtliche Gesellschaft in der Rechtsform einer Genossenschaft mit beschränkter Haftung;SC SCRL;BV CVBA;ZvGGbH;01/01/1800;31/12/9999;http://vocab.belgif.be/auth/orgtype/cbe1800/208#id
211;;Société civile sous forme de société en nom collectif;Burgerlijke vennootschap onder vorm van vennootschap onder firma;Zivilrechtliche Gesellschaft in der Rechtsform einer offenen Handelsgesellschaft;SC SNC;BV VOF;ZRG OHG;01/01/1800;31/12/9999;http://vocab.belgif.be/auth/orgtype/cbe1800/211#id
212;;Société civile sous forme de société en commandite simple;Burgerlijke vennootschap onder vorm van gewone commanditaire vennootschap;Zivilrechtliche Gesellschaft in der Rechtsform einer einfachen Kommanditgesellschaft;SC SCS;BV GCV;ZRG EKG;01/01/1800;31/12/9999;http://vocab.belgif.be/auth/orgtype/cbe1800/212#id
213;;Société civile sous forme de société en commandite par actions;Burgerlijke vennootschap onder vorm van commanditaire vennootschap op aandelen;Zivilrechtliche Gesellschaft in der Rechtsform einer Kommanditgesellschaft auf Aktien;SC SCA;BV CVA;ZRG KGaA;01/01/1800;31/12/9999;http://vocab.belgif.be/auth/orgtype/cbe1800/213#id
214;;Société civile sous forme de société anonyme;Burgerlijke vennootschap onder vorm van naamloze vennootschap;Zivilrechtliche Gesellschaft in der Rechtsform einer Aktiengesellschaft;SC SA;BV NV;ZRG AG;01/01/1800;31/12/9999;http://vocab.belgif.be/auth/orgtype/cbe1800/214#id
215;;Société civile sous forme de société privée à responsabilité limitée;Burgerlijke vennootschap onder vorm van besloten vennootschap met beperkte aansprakelijkheid;Zivilrechtliche Gesellschaft in der Rechtsform einer Privatgesellschaft mit beschränkter Haftung;SC SPRL;BV BVBA;ZvGPgbH;01/01/1800;31/12/9999;http://vocab.belgif.be/auth/orgtype/cbe1800/215#id
217;;Parti politique européen;Europese politieke partij;Europäische politische Partei;PPEU;EUPP;EUPP;01/01/2017;31/12/9999;http://vocab.belgif.be/auth/orgtype/cbe1800/217#id
218;;Fondation politique européenne;Europese politieke stichting;Europäische politische Stiftung;FPEU;EUPS;EUPS;01/01/2017;31/12/9999;http://vocab.belgif.be/auth/orgtype/cbe1800/218#id
225;;Société civile sous forme de société agricole;Burgerlijke Vennootschap onder vorm van Landbouwvennootschap (BV LV);Zivilrechtliche Gesellschaft in der Rechtsform einer landwirtschaftlichen Gesellschaft;SC SAGR;BV LV;ZRG LG;01/01/1800;31/12/9999;http://vocab.belgif.be/auth/orgtype/cbe1800/225#id
235;;Société étrangère sans établissement belge avec représentant responsable TVA;Buitenlandse onderneming zonder Belgische vestiging met vertegenwoordiger voor BTW;Ausländische Gesellschaft ohne Niederlassung in Belgien mit einem Fiskalvertreter für die MwSt.;SESEBTVA;BOZBVBTW;AusGohNi;01/01/1800;25/02/2004;http://vocab.belgif.be/auth/orgtype/cbe1800/235#id
265;;Groupement européen d'intérêt économique sans siège avec établissement en Belgique;Europees economisch samenwerkingsverband zonder zetel met vestiging in België (EESV);Europäische wirtschaftliche Interessenvereinigung ohne Sitz mit Niederlassung in Belgien (EWIV);GEIE EB;EESV VB;EWIV;01/01/1800;31/12/9999;http://vocab.belgif.be/auth/orgtype/cbe1800/265#id
301;;Service public fédéral;Federale overheidsdienst;Föderaler öffentlicher Dienst;SPF;FOD;FÖD;01/01/1800;31/12/9999;http://vocab.belgif.be/auth/orgtype/cbe1800/301#id
302;;Service public fédéral de programmation;Programmatorische federale overheidsdienst;Föderaler öffentlicher Programmierungsdienst;SPP;POD;FÖP;01/01/1800;31/12/9999;http://vocab.belgif.be/auth/orgtype/cbe1800/302#id
303;;Autre service fédéral;Andere federale dienst;Anderer föderale Dienst;SERVFEDE;FEDEDIEN;FödD;01/01/1800;31/12/9999;http://vocab.belgif.be/auth/orgtype/cbe1800/303#id
310;;Autorité de la Région flamande et de la Communauté flamande;Overheid van het Vlaamse Gewest en van de Vlaamse Gemeenschap;Behörde der Flämischen Region und der Flämischen Gemeinschaft;REGCOMNL;VLGEWGEM;FlRG;01/01/1800;31/12/9999;http://vocab.belgif.be/auth/orgtype/cbe1800/310#id
320;;Autorité de la Région wallonne;Overheid van het Waalse Gewest;Behörde der Wallonischen Region;RW;WG;WR;01/01/1800;31/12/9999;http://vocab.belgif.be/auth/orgtype/cbe1800/320#id
330;;Autorité de la Région de Bruxelles-Capitale;Overheid van het Brusselse Hoofdstedelijk Gewest;Behörde der Region Brüssel-Hauptstadt;REGBRXCA;BRUHOOGE;RBH;01/01/1800;31/12/9999;http://vocab.belgif.be/auth/orgtype/cbe1800/330#id
340;;Autorité de la Communauté française;Overheid van de Franse Gemeenschap;Behörde der Französischen Gemeinschaft;COMMFRAN;FRAGEMEE;FrG;01/01/1800;31/12/9999;http://vocab.belgif.be/auth/orgtype/cbe1800/340#id
350;;Autorité de la Communauté germanophone;Overheid van de Duitstalige Gemeenschap;Behörde der Deutschsprachigen Gemeinschaft;COMGERMA;DUITGEME;DG;01/01/1800;31/12/9999;http://vocab.belgif.be/auth/orgtype/cbe1800/350#id
400;;Autorité provinciale;Provinciale overheid;Provinzialbehörde;AUTOPROV;PROVOVER;Provbehö;01/01/1800;31/12/9999;http://vocab.belgif.be/auth/orgtype/cbe1800/400#id
401;;Organisme immatriculé par l'ONSS-APL;Organisme ingeschreven door de RSZ PPO;Vom LASSPLV eingetragene Stelle;ORGAPL;ORG PPO;St. PLV;01/01/1800;31/12/2006;http://vocab.belgif.be/auth/orgtype/cbe1800/401#id
411;;Ville / commune;Stad / gemeente;Stadt / Gemeinde;COMMUNES;GEMEENTE;Gemeinde;01/01/1800;31/12/9999;http://vocab.belgif.be/auth/orgtype/cbe1800/411#id
412;;Centre public d'action sociale;Openbaar centrum voor maatschappelijk welzijn;Öffentliches Sozialhilfezentrum;CPAS;OCMW;ÖSHZ;01/01/1800;31/12/9999;http://vocab.belgif.be/auth/orgtype/cbe1800/412#id
413;;Police locale;Lokale politiezone;Lokale Polizeizone;POLLOC;LOKPOL;LP;01/01/1800;31/12/9999;http://vocab.belgif.be/auth/orgtype/cbe1800/413#id
414;;Intercommunale;Intercommunale;Interkommunale;IC;IC;IK;01/01/1800;31/12/9999;http://vocab.belgif.be/auth/orgtype/cbe1800/414#id
415;;Association de projet;Projectvereniging;Projektvereinigung;APROJ;PROJ V;Prjverng;01/01/1800;31/12/9999;http://vocab.belgif.be/auth/orgtype/cbe1800/415#id
416;;Association prestataire de services (Région flamande);Dienstverlenende vereniging (Vlaams Gewest);Dienstleistungsvereinigung (Flämische Region);ASS SERV;DIENSTV;DlvFL;01/01/1800;31/12/9999;http://vocab.belgif.be/auth/orgtype/cbe1800/416#id
417;;Association chargée de mission (Région flamande);Opdrachthoudende vereniging (Vlaams Gewest);Beauftragte Vereinigung (Flämische Region);ACMISS;OPDRAVER;BVerFL;01/01/1800;31/12/9999;http://vocab.belgif.be/auth/orgtype/cbe1800/417#id
418;;Régie communale autonome;Autonoom gemeentebedrijf;Autonome Gemeinderegie;RCOMAUT;AUTOGEMB;AutGemRg;01/01/1800;31/12/9999;http://vocab.belgif.be/auth/orgtype/cbe1800/418#id
419;;Régie provinciale autonome;Autonoom provinciebedrijf;Autonome Provinzialregie;RPROVAUT;AUTOPRB;AutPrvRg;01/01/1800;31/12/9999;http://vocab.belgif.be/auth/orgtype/cbe1800/419#id
420;;Association de CPAS;Vereniging van OCMW's;Vereinigung von öffentlichen Sozialhilfezentren;Ass.CPAS;Ver.OCMW;VÖSHZ;01/01/1800;31/12/9999;http://vocab.belgif.be/auth/orgtype/cbe1800/420#id
421;;Prézone;Prezone;Vorläufige operative Zone;PRZ;PRZ;VOZ;10/05/2012;31/12/2015;http://vocab.belgif.be/auth/orgtype/cbe1800/421#id
422;;Zone de secours;Hulpverleningszone;Hilfeleistungszone;ZDS;HVZ;HLZ;01/01/2015;31/12/9999;http://vocab.belgif.be/auth/orgtype/cbe1800/422#id
506;;Société coopérative à responsabilité illimitée à finalité sociale;Coöperatieve vennootschap met onbeperkte aansprakelijkheid met een sociaal oogmerk;Genossenschaft mit unbeschränkter Haftung mit sozialer Zielsetzung;SCRI FS;CVOA SO;GuHsZ;01/01/1800;31/12/9999;http://vocab.belgif.be/auth/orgtype/cbe1800/506#id
508;;Société coopérative à responsabilité limitée à finalité sociale;Coöperatieve vennootschap met beperkte aansprakelijkheid met een sociaal oogmerk;Genossenschaft mit beschränkter Haftung mit sozialer Zielsetzung;SCRL FS;CVBA SO;GbHsZ;01/01/1800;31/12/9999;http://vocab.belgif.be/auth/orgtype/cbe1800/508#id
510;;Société privée à responsabilité limitée unipersonnelle à finalité sociale;Eenpersoons besloten vennootschap met beperkte aansprakelijkheid met een sociaal oogmerk;Privatgesellschaft mit beschränkter Haftung mit sozialer Zielsetzung mit einem Alleingesellschafter;SPRLU FS;EBVBA SO;PgbHsZ;01/01/1800;28/02/2004;http://vocab.belgif.be/auth/orgtype/cbe1800/510#id
511;;Société en nom collectif à finalité sociale;Vennootschap onder firma met een sociaal oogmerk;Offene Handelsgesellschaft mit sozialer Zielsetzung;SNC FS;VOF SO;OHGmsZ;01/01/1800;31/12/9999;http://vocab.belgif.be/auth/orgtype/cbe1800/511#id
512;;Société en commandite simple à finalité sociale;Gewone commanditaire vennootschap met een sociaal oogmerk;Einfache Kommanditgesellschaft mit sozialer Zielsetzung;SCS FS;GCW SO;EKGmsZ;01/01/1800;31/12/9999;http://vocab.belgif.be/auth/orgtype/cbe1800/512#id
513;;Société en commandite par actions à finalité sociale;Commanditaire vennootschap op aandelen met een sociaal oogmerk;Kommanditgesellschaft auf Aktien mit sozialer Zielsetzung;SCA FS;CVA SO;KGaAmsZ;01/01/1800;31/12/9999;http://vocab.belgif.be/auth/orgtype/cbe1800/513#id
514;;Société anonyme à finalité sociale;Naamloze vennootschap met een sociaal oogmerk;Aktiengesellschaft mit sozialer Zielsetzung;SA FS;NV SO;AGmsZ;01/01/1800;31/12/9999;http://vocab.belgif.be/auth/orgtype/cbe1800/514#id
515;;Société privée à responsabilité limitée à finalité sociale;Besloten vennootschap met beperkte aansprakelijkheid met een sociaal oogmerk;Privatgesellschaft mit beschränkter Haftung mit sozialer Zielsetzung;SPRL FS;BVBA SO;PmbHsZ;01/01/1800;31/12/9999;http://vocab.belgif.be/auth/orgtype/cbe1800/515#id
560;;Groupement d'intérêt économique à finalité sociale;Economisch samenwerkingsverband met een sociaal oogmerk;Wirtschaftliche Interessenvereinigung mit sozialer Zielsetzung;GIE FS;ESV SO;WIVmsZ;01/01/1800;31/12/9999;http://vocab.belgif.be/auth/orgtype/cbe1800/560#id
606;;Société coopérative à responsabilité illimitée et à finalité sociale;Coöperatieve vennootschap met onbeperkte aansprakelijkheid met een sociaal oogmerk;Genossenschaft mit unbeschränkter Haftung mit sozialer Zielsetzung;SCRI FS;CVOA SO;GuHsZöfr;01/01/1800;23/04/2004;http://vocab.belgif.be/auth/orgtype/cbe1800/606#id
608;;Société coopérative à responsabilité limitée à finalité sociale;Coöperatieve vennootschap met beperkte aansprakelijkheid met een sociaal oogmerk;Genossenschaft mit beschränkter Haftung mit sozialer Zielsetzung;SCRL FS;CVBA SO;GbHsZör;01/01/1800;23/04/2004;http://vocab.belgif.be/auth/orgtype/cbe1800/608#id
614;;Société anonyme à finalité sociale;Naamloze vennootschap met een sociaal oogmerk;Aktiengesellschaft mit sozialer Zielsetzung;SA FS;NV SO;AGmsZ;01/01/1800;23/04/2004;http://vocab.belgif.be/auth/orgtype/cbe1800/614#id
651;;Autre forme à finalité sociale de droit public;Andere vorm met een sociaal oogmerk van publiek recht;Andere öffentlich-rechtliche Rechtsform mit sozialer Zielsetzung;FORME FS;VORM SO;RFmsZ;01/01/1800;31/12/9999;http://vocab.belgif.be/auth/orgtype/cbe1800/651#id
702;;Société de droit commun;Maatschap;Gesellschaft des allgemeinen Rechts;SDC;MS;GaR;01/01/1800;31/12/9999;http://vocab.belgif.be/auth/orgtype/cbe1800/702#id
721;;Société ou association sans personnalité juridique;Vennootschap of vereniging zonder rechtspersoonlijkheid;Gesellschaften oder Vereinigungen ohne Rechtspersönlichkeit;SASPJ;VVZRL;GVoRP;01/01/1800;31/12/9999;http://vocab.belgif.be/auth/orgtype/cbe1800/721#id
#id